Time_ns,Case,Input_L,Input_R,Output_L,Output_R
95000,                                                          BYPASS,  2778, -2778,     0,     0
105000,                                                          BYPASS,  5472, -5472,  2778, -2778
115000,                                                          BYPASS,  7999, -7999,  5472, -5472
125000,                                                          BYPASS, 10284,-10284,  7999, -7999
135000,                                                          BYPASS, 12256,-12256, 10284,-10284
145000,                                                          BYPASS, 13856,-13856, 12256,-12256
155000,                                                          BYPASS, 15035,-15035, 13856,-13856
165000,                                                          BYPASS, 15756,-15756, 15035,-15035
175000,                                                          BYPASS, 16000,-16000, 15756,-15756
185000,                                                          BYPASS, 15756,-15756, 16000,-16000
195000,                                                          BYPASS, 15035,-15035, 15756,-15756
205000,                                                          BYPASS, 13856,-13856, 15035,-15035
215000,                                                          BYPASS, 12256,-12256, 13856,-13856
225000,                                                          BYPASS, 10284,-10284, 12256,-12256
235000,                                                          BYPASS,  8000, -8000, 10284,-10284
245000,                                                          BYPASS,  5472, -5472,  8000, -8000
255000,                                                          BYPASS,  2778, -2778,  5472, -5472
265000,                                                          BYPASS,     0,     0,  2778, -2778
275000,                                                          BYPASS, -2778,  2778,     0,     0
285000,                                                          BYPASS, -5472,  5472, -2778,  2778
295000,                                                          BYPASS, -7999,  7999, -5472,  5472
305000,                                                          BYPASS,-10284, 10284, -7999,  7999
315000,                                                          BYPASS,-12256, 12256,-10284, 10284
325000,                                                          BYPASS,-13856, 13856,-12256, 12256
335000,                                                          BYPASS,-15035, 15035,-13856, 13856
345000,                                                          BYPASS,-15756, 15756,-15035, 15035
355000,                                                          BYPASS,-16000, 16000,-15756, 15756
365000,                                                          BYPASS,-15756, 15756,-16000, 16000
375000,                                                          BYPASS,-15035, 15035,-15756, 15756
385000,                                                          BYPASS,-13856, 13856,-15035, 15035
395000,                                                          BYPASS,-12256, 12256,-13856, 13856
405000,                                                          BYPASS,-10284, 10284,-12256, 12256
415000,                                                          BYPASS, -8000,  8000,-10284, 10284
425000,                                                          BYPASS, -5472,  5472, -8000,  8000
435000,                                                          BYPASS, -2778,  2778, -5472,  5472
445000,                                                          BYPASS, -2778,  2778, -2778,  2778
595000,                                                        GAIN_1.0,  2778, -2778,     0,     0
605000,                                                        GAIN_1.0,  5472, -5472,  2778, -2778
615000,                                                        GAIN_1.0,  7999, -7999,  5472, -5472
625000,                                                        GAIN_1.0, 10284,-10284,  7999, -7999
635000,                                                        GAIN_1.0, 12256,-12256, 10284,-10284
645000,                                                        GAIN_1.0, 13856,-13856, 12256,-12256
655000,                                                        GAIN_1.0, 15035,-15035, 13856,-13856
665000,                                                        GAIN_1.0, 15756,-15756, 15035,-15035
675000,                                                        GAIN_1.0, 16000,-16000, 15756,-15756
685000,                                                        GAIN_1.0, 15756,-15756, 16000,-16000
695000,                                                        GAIN_1.0, 15035,-15035, 15756,-15756
705000,                                                        GAIN_1.0, 13856,-13856, 15035,-15035
715000,                                                        GAIN_1.0, 12256,-12256, 13856,-13856
725000,                                                        GAIN_1.0, 10284,-10284, 12256,-12256
735000,                                                        GAIN_1.0,  8000, -8000, 10284,-10284
745000,                                                        GAIN_1.0,  5472, -5472,  8000, -8000
755000,                                                        GAIN_1.0,  2778, -2778,  5472, -5472
765000,                                                        GAIN_1.0,     0,     0,  2778, -2778
775000,                                                        GAIN_1.0, -2778,  2778,     0,     0
785000,                                                        GAIN_1.0, -5472,  5472, -2778,  2778
795000,                                                        GAIN_1.0, -7999,  7999, -5472,  5472
805000,                                                        GAIN_1.0,-10284, 10284, -7999,  7999
815000,                                                        GAIN_1.0,-12256, 12256,-10284, 10284
825000,                                                        GAIN_1.0,-13856, 13856,-12256, 12256
835000,                                                        GAIN_1.0,-15035, 15035,-13856, 13856
845000,                                                        GAIN_1.0,-15756, 15756,-15035, 15035
855000,                                                        GAIN_1.0,-16000, 16000,-15756, 15756
865000,                                                        GAIN_1.0,-15756, 15756,-16000, 16000
875000,                                                        GAIN_1.0,-15035, 15035,-15756, 15756
885000,                                                        GAIN_1.0,-13856, 13856,-15035, 15035
895000,                                                        GAIN_1.0,-12256, 12256,-13856, 13856
905000,                                                        GAIN_1.0,-10284, 10284,-12256, 12256
915000,                                                        GAIN_1.0, -8000,  8000,-10284, 10284
925000,                                                        GAIN_1.0, -5472,  5472, -8000,  8000
935000,                                                        GAIN_1.0, -2778,  2778, -5472,  5472
945000,                                                        GAIN_1.0, -2778,  2778, -2778,  2778
1055000,                                                        GAIN_0.5,  2778, -2778,     0,     0
1065000,                                                        GAIN_0.5,  5472, -5472,  1389, -1389
1075000,                                                        GAIN_0.5,  7999, -7999,  2736, -2736
1085000,                                                        GAIN_0.5, 10284,-10284,  3999, -4000
1095000,                                                        GAIN_0.5, 12256,-12256,  5142, -5142
1105000,                                                        GAIN_0.5, 13856,-13856,  6128, -6128
1115000,                                                        GAIN_0.5, 15035,-15035,  6928, -6928
1125000,                                                        GAIN_0.5, 15756,-15756,  7517, -7518
1135000,                                                        GAIN_0.5, 16000,-16000,  7878, -7878
1145000,                                                        GAIN_0.5, 15756,-15756,  8000, -8000
1155000,                                                        GAIN_0.5, 15035,-15035,  7878, -7878
1165000,                                                        GAIN_0.5, 13856,-13856,  7517, -7518
1175000,                                                        GAIN_0.5, 12256,-12256,  6928, -6928
1185000,                                                        GAIN_0.5, 10284,-10284,  6128, -6128
1195000,                                                        GAIN_0.5,  8000, -8000,  5142, -5142
1205000,                                                        GAIN_0.5,  5472, -5472,  4000, -4000
1215000,                                                        GAIN_0.5,  2778, -2778,  2736, -2736
1225000,                                                        GAIN_0.5,     0,     0,  1389, -1389
1235000,                                                        GAIN_0.5, -2778,  2778,     0,     0
1245000,                                                        GAIN_0.5, -5472,  5472, -1389,  1389
1255000,                                                        GAIN_0.5, -7999,  7999, -2736,  2736
1265000,                                                        GAIN_0.5,-10284, 10284, -4000,  3999
1275000,                                                        GAIN_0.5,-12256, 12256, -5142,  5142
1285000,                                                        GAIN_0.5,-13856, 13856, -6128,  6128
1295000,                                                        GAIN_0.5,-15035, 15035, -6928,  6928
1305000,                                                        GAIN_0.5,-15756, 15756, -7518,  7517
1315000,                                                        GAIN_0.5,-16000, 16000, -7878,  7878
1325000,                                                        GAIN_0.5,-15756, 15756, -8000,  8000
1335000,                                                        GAIN_0.5,-15035, 15035, -7878,  7878
1345000,                                                        GAIN_0.5,-13856, 13856, -7518,  7517
1355000,                                                        GAIN_0.5,-12256, 12256, -6928,  6928
1365000,                                                        GAIN_0.5,-10284, 10284, -6128,  6128
1375000,                                                        GAIN_0.5, -8000,  8000, -5142,  5142
1385000,                                                        GAIN_0.5, -5472,  5472, -4000,  4000
1395000,                                                        GAIN_0.5, -2778,  2778, -2736,  2736
1405000,                                                        GAIN_0.5, -2778,  2778, -1389,  1389
1515000,                                                    GAIN_2.5_SAT,  2778, -2778,     0,     0
1525000,                                                    GAIN_2.5_SAT,  5472, -5472,  6945, -6945
1535000,                                                    GAIN_2.5_SAT,  7999, -7999, 13680,-13680
1545000,                                                    GAIN_2.5_SAT, 10284,-10284, 19997,-19998
1555000,                                                    GAIN_2.5_SAT, 12256,-12256, 25710,-25710
1565000,                                                    GAIN_2.5_SAT, 13856,-13856, 30640,-30640
1575000,                                                    GAIN_2.5_SAT, 15035,-15035, 32767,-32768
1585000,                                                    GAIN_2.5_SAT, 15756,-15756, 32767,-32768
1595000,                                                    GAIN_2.5_SAT, 16000,-16000, 32767,-32768
1605000,                                                    GAIN_2.5_SAT, 15756,-15756, 32767,-32768
1615000,                                                    GAIN_2.5_SAT, 15035,-15035, 32767,-32768
1625000,                                                    GAIN_2.5_SAT, 13856,-13856, 32767,-32768
1635000,                                                    GAIN_2.5_SAT, 12256,-12256, 32767,-32768
1645000,                                                    GAIN_2.5_SAT, 10284,-10284, 30640,-30640
1655000,                                                    GAIN_2.5_SAT,  8000, -8000, 25710,-25710
1665000,                                                    GAIN_2.5_SAT,  5472, -5472, 20000,-20000
1675000,                                                    GAIN_2.5_SAT,  2778, -2778, 13680,-13680
1685000,                                                    GAIN_2.5_SAT,     0,     0,  6945, -6945
1695000,                                                    GAIN_2.5_SAT, -2778,  2778,     0,     0
1705000,                                                    GAIN_2.5_SAT, -5472,  5472, -6945,  6945
1715000,                                                    GAIN_2.5_SAT, -7999,  7999,-13680, 13680
1725000,                                                    GAIN_2.5_SAT,-10284, 10284,-19998, 19997
1735000,                                                    GAIN_2.5_SAT,-12256, 12256,-25710, 25710
1745000,                                                    GAIN_2.5_SAT,-13856, 13856,-30640, 30640
1755000,                                                    GAIN_2.5_SAT,-15035, 15035,-32768, 32767
1765000,                                                    GAIN_2.5_SAT,-15756, 15756,-32768, 32767
1775000,                                                    GAIN_2.5_SAT,-16000, 16000,-32768, 32767
1785000,                                                    GAIN_2.5_SAT,-15756, 15756,-32768, 32767
1795000,                                                    GAIN_2.5_SAT,-15035, 15035,-32768, 32767
1805000,                                                    GAIN_2.5_SAT,-13856, 13856,-32768, 32767
1815000,                                                    GAIN_2.5_SAT,-12256, 12256,-32768, 32767
1825000,                                                    GAIN_2.5_SAT,-10284, 10284,-30640, 30640
1835000,                                                    GAIN_2.5_SAT, -8000,  8000,-25710, 25710
1845000,                                                    GAIN_2.5_SAT, -5472,  5472,-20000, 20000
1855000,                                                    GAIN_2.5_SAT, -2778,  2778,-13680, 13680
1865000,                                                    GAIN_2.5_SAT, -2778,  2778, -6945,  6945
